Ligase,Unique_Scaffolds,Total_Recruiters,Diversity_Score,Shannon_Index
CHIP,5,5,1.0,-0.0
CRBN,44,108,0.407,0.987
Cbl-b,3,3,1.0,-0.0
DCAF1,17,25,0.68,0.753
DCAF15,4,9,0.444,0.562
DCAF16,1,1,1.0,-0.0
GID4,1,1,1.0,-0.0
HOIP(RNF31),3,3,1.0,-0.0
HUWE1,1,2,0.5,-0.0
KEAP1,71,92,0.772,0.673
LIVIN,7,7,1.0,-0.0
MDM2,74,116,0.638,0.905
MDMX,2,4,0.5,0.693
Parkin,1,1,1.0,-0.0
RNF146,1,2,0.5,-0.0
SOCS2,1,6,0.167,-0.0
TRIM21,78,106,0.736,0.57
TRIM24,2,2,1.0,-0.0
VHL,34,59,0.576,0.701
XIAP,27,37,0.73,0.675
cIAP1,11,13,0.846,0.305
